/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,/proc/oppoVersion/modemType,project
19021,8,31,19021
19021,2,19,19022
19021,8,29,19028
19021,2,27,19029
19026,8,23,19026
19026,2,15,19027
19021,8,28,19023
19021,2,25,19025
19321,12,31,19321
19321,13,30,19322
19321,13,27,19322
19321,14,29,19323
19321,12,23,19325
19321,13,15,19326
19321,14,28,19327
19321,15,25,19328
19321,14,19,19329
19631,1,1,19630
19631,2,2,19631
19632,3,3,19632
19632,10,3,19643
19633,4,4,19633
19631,5,5,19634
19631,6,1,19641
19631,9,2,19642
19631,11,5,19645
19631,7,5,19647
19631,8,5,19648
19637,31,1,19636
19637,32,2,19637
19637,33,3,19638
19638,33,3,19638
19637,34,5,19640
19743,31,101,19743
19743,31,1,19743
19743,32,2,19744
19743,33,5,19675
19743,34,5,19676
19743,35,3,19745
19743,36,1,19683
19743,36,101,19683
19745,35,3,19745
